Show Name,Score
Tom and Jerry (Fred Quimby Era),5
Scooby-Doo Where Are You!,3
Dexter’s Laboratory,4
Johnny Bravo,2
The Powerpuff Girls,3
Courage the Cowardly Dog,5
Samurai Jack,3
The Grim Adventures of Billy and Mandy,5
Teen Titans,2
Foster’s Home for Imaginary Friends,5
Ben 10,3
Chowder,3
Adventure Time,5
Regular Show,4
Rugrats,1
Rocko’s Modern Life,2
Hey Arnold!,3
CatDog,3
The Wild Thornberrys,2
Invader Zim,3
ChalkZone,5
The Adventures of Jimmy Neutron: Boy Genius,5
My Life as a Teenage Robot,4
Danny Phantom,3
Catscratch,2